ComputerName,Environment,SiteServer,MP,MP_SSL,DP,SUP,SUP_SSL,SUP_ContentSource,SUSDB,FSP,SQL,SSRS,SSRS_SQL,Datacenter
LOUAPPWTS1441,MT1,TRUE,,,,,,,,,,,,SDC
LOUAPPWTS1442,MT1,TRUE,,,,,,,,,,,,SDC
LOUAPPWTS1443,MT1,,TRUE,,TRUE,TRUE,TRUE,LOUAPPWTS1443,LOUSQLWTC22S01,TRUE,,,,SDC
LOUAPPWTS1444,MT1,,TRUE,,TRUE,TRUE,,LOUAPPWTS1443,LOUSQLWTC22S01,,,,,SDC
LOUAPPWTS1445,MT1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWTS1443,LOUSQLWTC22S01,,,,,SDC
LOUSQLWTC22S01,MT1,,,,,,,,,,TRUE,,,SDC
LOUSQLWTC22S02,MT1,,,,,,,,,,TRUE,,,SDC
LOUSQLWTS112,MT1,,,,,,,,,,,,TRUE,SDC
LOUSRSWTS27,MT1,,,,,,,,,,,TRUE,,
LOUAPPWPS2475,SP1,TRUE,,,,,,,,,,,,LDC
LOUAPPWPS2477,SP1,TRUE,,,,,,,,,,,,SDC
LOUAPPWPS2484,SP1,,TRUE,,TRUE,TRUE,TRUE,LOUAPPWPS2484,LOUSQLWPC153S01,TRUE,,,,LDC
LOUAPPWPS2485,SP1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWPS2484,LOUSQLWPC153S01,,,,,LDC
LOUAPPWPS2486,SP1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWPS2484,LOUSQLWPC153S01,,,,,LDC
LOUAPPWPS2493,SP1,,TRUE,,TRUE,TRUE,,LOUAPPWPS2493,LOUSQLWPC153S02,,,,,SDC
LOUAPPWPS2494,SP1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWPS2493,LOUSQLWPC153S02,,,,,SDC
LOUAPPWPS2495,SP1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWPS2493,LOUSQLWPC153S02,,,,,SDC
LOUSQLWPC153S01,SP1,,,,,,,,,,TRUE,,,LDC
LOUSQLWPC153S02,SP1,,,,,,,,,,TRUE,,,LDC
LOUSQLWPS165,SP1,,,,,,,,,,,,TRUE,
LOUSRSWPS28,SP1,,,,,,,,,,,TRUE,,LDC
LOUAPPWQS1565,SQ1,TRUE,,,,,,,,,,,,SDC
LOUAPPWQS1566,SQ1,TRUE,,,,,,,,,,,,SDC
LOUAPPWQS1567,SQ1,,TRUE,,TRUE,TRUE,TRUE,LOUAPPWQS1567,LOUSQLWQC149S01,TRUE,,,,SDC
LOUAPPWQS1568,SQ1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWQS1567,LOUSQLWQC149S01,,,,,SDC
LOUAPPWQS1569,SQ1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWQS1567,LOUSQLWQC149S01,,,,,SDC
LOUSQLWQC149S01,SQ1,,,,,,,,,,TRUE,,,SDC
LOUSQLWQC149S02,SQ1,,,,,,,,,,TRUE,,,SDC
LOUSQLWQS121,SQ1,,,,,,,,,,,,TRUE,
LOUSRSWQS22,SQ1,,,,,,,,,,,TRUE,,SDC
LOUAPPWPS2474,WP1,TRUE,,,,,,,,,,,,LDC
LOUAPPWPS2476,WP1,TRUE,,,,,,,,,,,,SDC
LOUAPPWPS2478,WP1,,TRUE,,TRUE,TRUE,TRUE,LOUAPPWPS2478,LOUSQLWPC152S01,TRUE,,,,LDC
LOUAPPWPS2479,WP1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWPS2478,LOUSQLWPC152S01,,,,,LDC
LOUAPPWPS2480,WP1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWPS2478,LOUSQLWPC152S01,,,,,LDC
LOUAPPWPS2481,WP1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWPS2478,LOUSQLWPC152S01,,,,,LDC
LOUAPPWPS2482,WP1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWPS2478,LOUSQLWPC152S01,,,,,LDC
LOUAPPWPS2483,WP1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWPS2478,LOUSQLWPC152S01,,,,,LDC
LOUAPPWPS2487,WP1,,TRUE,,TRUE,TRUE,,LOUAPPWPS2487,LOUSQLWPC152S02,,,,,SDC
LOUAPPWPS2488,WP1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWPS2487,LOUSQLWPC152S02,,,,,SDC
LOUAPPWPS2489,WP1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWPS2487,LOUSQLWPC152S02,,,,,SDC
LOUAPPWPS2490,WP1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWPS2487,LOUSQLWPC152S02,,,,,SDC
LOUAPPWPS2491,WP1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWPS2487,LOUSQLWPC152S02,,,,,SDC
LOUAPPWPS2492,WP1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWPS2487,LOUSQLWPC152S02,,,,,SDC
LOUSQLWPC152S01,WP1,,,,,,,,,,TRUE,,,LDC
LOUSQLWPC152S02,WP1,,,,,,,,,,TRUE,,,LDC
LOUSQLWPS164,WP1,,,,,,,,,,,,TRUE,
LOUSRSWPS27,WP1,,,,,,,,,,,TRUE,,LDC
LOUAPPWQS1560,WQ1,TRUE,,,,,,,,,,,,SDC
LOUAPPWQS1561,WQ1,TRUE,,,,,,,,,,,,SDC
LOUAPPWQS1562,WQ1,,TRUE,,TRUE,TRUE,TRUE,LOUAPPWQS1562,LOUSQLWQC148S01,TRUE,,,,SDC
LOUAPPWQS1563,WQ1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWQS1562,LOUSQLWQC148S01,,,,,SDC
LOUAPPWQS1564,WQ1,,TRUE,TRUE,TRUE,TRUE,,LOUAPPWQS1562,LOUSQLWQC148S01,,,,,SDC
LOUSQLWQC148S01,WQ1,,,,,,,,,,TRUE,,,SDC
LOUSQLWQC148S02,WQ1,,,,,,,,,,TRUE,,,SDC
LOUSQLWQS120,WQ1,,,,,,,,,,,,TRUE,
LOUSRSWQS21,WQ1,,,,,,,,,,,TRUE,,SDC
